N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.9139876258643698,0.9092242108489248,0.9073413613905116,0.639618138424821,0.8422431755546078,0.723369874670406
Model2,500,2,1,0.9150794613611549,0.9111308929719258,0.9104539298882124,0.6754176610978521,0.7821704739129558,0.716812445183487
Model3,500,3,1,0.9080431881596506,0.9127821649586167,0.9082636563967459,0.7130071599045346,0.7121575354606432,0.7020516614397181
Model4,500,1,2,0.9192041732378988,0.9153470889934062,0.9151652195536567,0.6772076372315036,0.8164965869421259,0.7381358415475798
Model5,500,2,2,0.923450200169841,0.9276699810206207,0.9240282923964067,0.7613365155131265,0.7809387932293814,0.7636039636995995
Model6,500,3,2,0.9213878442314691,0.9202882411678274,0.914069109920124,0.6402147971360382,0.8859188988726149,0.7339616198317281
Model7,800,1,2,0.9159286667475434,0.9150074243709627,0.9129630758080247,0.6891408114558473,0.79135273030982,0.7286838105285101
Model8,800,2,2,0.9323061991993207,0.9301263088710229,0.9296241611117089,0.7523866348448688,0.8350543831717673,0.78646605410645
Model9,800,3,2,0.9173844474099235,0.9152297049431375,0.9123555159370591,0.6503579952267303,0.819186009127513,0.7174710066357066
