N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.9052529418900885,0.9302342456182298,0.9141073884803754,0.8198090692124105,0.7264139459240608,0.7583534392785252
Model2,500,2,1,0.8578187553075337,0.9260801892739284,0.8811026224065692,0.8186157517899761,0.6678166607533347,0.7061098598295629
Model3,500,3,1,0.8296736625015164,0.9160438375912157,0.8584028311913912,0.714200477326969,0.6194528643520821,0.6143381806529505
Model4,500,1,2,0.9415261433943952,0.9424713612068157,0.9416243013366453,0.8096658711217184,0.8259163427989352,0.8159582804646539
Model5,500,2,2,0.906102147276477,0.9370914087190847,0.9165617097448973,0.8359188544152745,0.7352845794687914,0.7651101831346553
Model6,500,3,2,0.8847506975615674,0.9314659254281182,0.9003165164255171,0.8120525059665871,0.696331579912747,0.7239082102824503
Model7,800,1,2,0.9219944195074609,0.9399967008918176,0.9280473796421744,0.8681384248210023,0.7434016382858449,0.7942840110477456
Model8,800,2,2,0.9166565570787335,0.9355089442016707,0.9231004130483422,0.8591885441527446,0.722766233285442,0.779797149091039
Model9,800,3,2,0.8767439039184762,0.9274316386976968,0.8935796578187273,0.8502386634844868,0.669918288300408,0.7307836022199483
